#,Referring page title,Referring page URL,Language,Platform,Referring page HTTP code,Domain rating,UR,Domain traffic,Referring domains,Linked domains,External links,Page traffic,Keywords,Target URL,Left context,Anchor,Right context,Redirect Chain URLs,Redirect Chain status codes,Type,Content,Nofollow,UGC,Sponsored,Rendered,Raw,Lost status,Drop reason,Discovered status,First seen,Last seen,Lost,Author,Links in group
22,Réforme Assurance Chômage 2025 : Guide pour les Créateurs,https://guideducreateur.com/reforme-assurance-chomage-2025-guide-createur/,fr,"ecommerce, wordpress",200,29,5,0,0,26,39,0,0,https://lamicrobyflo.fr/changements-assurance-chomage-1er-avril-2025/,"3 changements qui impactent les micro-entrepreneurs, accessed August 13, 2025,",https://lamicrobyflo.fr/changements-assurance-chomage-1er-avril-2025/,,,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2025-08-13 20:11:57,2025-11-24 20:36:23,,,1
23,10 comptes LinkedIn à suivre pour progresser en freelance,https://www.guideduportage.com/actualite/10-comptes-linkedin-suivre-progresser-freelance,fr,wordpress,200,43,5,3058,2,8,9,0,0,https://lamicrobyflo.fr/,Florian Charpentier est le fondateur de,La micro by Flo,. Son objectif : aider les auto-entrepreneurs à tout comprendre à la,,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2024-02-24 03:30:54,2025-11-26 16:36:47,,,1
24,Moodentrepreneurs • Par ici les meilleurs bons plans pour les freelances !,https://moodentrepreneurs.fr/partenaires/,fr,wordpress,200,25,5,7,1,17,32,0,0,https://lamicrobyflo.fr/,,Logo La micro By flo,,,,image,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,linkfound,2025-03-01 04:59:38,2025-12-01 12:16:55,,,3
25,Les Clés Juridiques - La Juriste 2.0,https://lajuriste20.fr/les-cles-juridiques/,fr,wordpress,200,26,5,16,0,6,7,0,0,https://www.lamicrobyflo.fr/,Avec,FLORIAN | LA MICRO BY FLO,,,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,linkfound,2023-11-26 11:11:13,2025-11-24 00:37:17,,,2
26,"Les 5 actus du freelancing - Semaine 7 | Freelicious, le média du freelancing",https://www.freelicious.fr/media-articles/les-5-actus-du-freelancing-semaine-7,"fr, en",,200,2.7,4.9,353,0,7,10,0,0,https://lamicrobyflo.fr/reforme-seuil-tva-25-000/,suivre ! Retrouve l’article de l’expert Florian Charpentier ici :,https://lamicrobyflo.fr/reforme-seuil-tva-25-000/,,,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2025-02-14 18:14:15,2025-11-23 10:23:02,,,1
27,La fin - @gabinaureche,https://gabin.app/posts/la-fin,fr,,200,11,4.8,3,0,46,120,0,0,https://lamicrobyflo.fr/,,La Micro by Flo,,,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2024-03-21 05:47:02,2025-11-14 23:22:40,,,2
28,Boîte à outils de l'entrepreneur - Formation Premier Pas,https://formation-premier-pas.fr/boite-a-outils-de-lentrepreneur/,fr,"ecommerce, wordpress",200,0.3,4.7,0,0,59,81,0,0,https://lamicrobyflo.fr/,,Le site de la Micro by Flo,,,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2024-11-29 07:22:11,2025-11-19 03:38:07,,,1
29,Le mirage du chiffre d’affaires,https://www.aamouton.fr/le-mirage-du-ca/,fr,"ecommerce, wordpress",200,22,4.7,19,0,6,15,0,0,https://lamicrobyflo.fr/prevoyance-et-mutuelle-cest-quoi-la-difference/,,"Prévoyance et mutuelle, c’est quoi la différence ?",(La Micro by Flo),,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2025-07-11 10:39:45,2025-11-29 00:41:49,,,1
30,EVOLUTION DES COTISATIONS SOCIALES DES AUTO-ENTREPRENEURS - SASTI Bourgogne-Franche-Comté,https://www.sasti.fr/ressources/evolution-des-cotisations-sociales-des-auto-entrepreneurs,fr,,200,17,4.7,6,0,7,11,0,0,https://lamicrobyflo.fr/augmentation-des-cotisations-pour-les-activites-liberales-les-explications/,que La Micro by Floa consacré à ce sujet :,https://lamicrobyflo.fr/augmentation-des-cotisations-pour-les-activites-liberales-les-explications/,,,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2024-07-26 19:42:58,2025-11-30 04:27:44,,,5
31,Maîtrisez l'Assurance Responsabilité Civile Professionnelle : Votre Guide Essentiel,https://www.meilleurassuranceprofessionnel.fr/guide-complet-sur-lassurance-responsabilite-civile-professionnelle/,fr,wordpress,200,3.4,4.7,99,1,7,7,0,0,https://lamicrobyflo.fr/lassurance-responsabilite-civile-professionnelle-rc-pro/?srsltid=AfmBOoqujlhOU2psCXHdznZIRY-N_fw9algNNmjquXaSV800KhKVah-V,,Comprendre la responsabilité civile professionnelle,,,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2024-10-13 05:32:56,2025-11-30 01:32:23,,,1
